City,Year,Population,Forcible Rape,Robbery,Aggravated Assault,Burglary,Larceny Theft,Motor Vehicle Theft ,Arson,total crime,Law Enforcement Officials,Labor Force,Employment,Unemployment,UemploymentRate-san jose-santa clara-sunnyvale,LandPriceIndex,LandPrice,HomePrice,HomePriceInde,SanJoseUnemploymentRate
San Jose,1995,822845,387,1209,5015,5477,19745,4225,539,36597,1664,883594,838174,45420,5.1,0,"226,584 ","320,973 ",0.534,
San Jose,1996,830374,341,1098,4596,4700,19793,3719,655,34902,1706,917190,881410,35780,3.9,0,"246,436 ","344,893 ",0.573,
San Jose,1997,840529,375,908,4865,4381,18023,3935,114,32601,1768,956062,924443,31619,3.3,1,"282,672 ","386,789 ",0.643,
San Jose,1998,860211,357,901,3868,4129,17925,3173,329,30682,1755,979390,945686,33704,3.4,1,"328,351 ","438,511 ",0.729,
San Jose,1999,875840,347,726,3990,2685,15151,2860,497,26256,1802,984889,953443,31446,3.2,1,"398,955 ","512,642 ",0.852,
San Jose,2000,888632,337,677,3895,2670,12595,2615,349,23138,1778,968182,937379,34218,3.5,1,"537,811 ","657,687 ",1,3
San Jose,2001,913513,329,712,4501,2939,13567,3093,388,25529,1813,966962,917565,49397,5.1,1,"517,834 ","646,351 ",1,5
San Jose,2002,927821,379,827,2902,3026,13642,3337,258,24371,1819,918000,840969,77031,8.4,1,"582,942 ","710,954 ",1,8
San Jose,2003,909890,279,815,2255,3314,13770,3664,208,24305,1792,875827,802306,73521,8.4,1,"587,246 ","741,329 ",1,8
San Jose,2004,908712,256,785,2314,3616,14165,4517,248,25901,1721,850053,794461,55592,6.5,2,"725,267 ","868,405 ",1,7
San Jose,2005,910528,263,884,2319,4049,13374,5507,388,26784,1715,841505,795811,45694,5.4,2,"804,242 ","960,337 ",2,6
San Jose,2006,920548,217,1030,2285,4423,12678,7139,437,28209,1749,847828,809236,38592,4.6,2,"821,307 ","990,474 ",2,5
San Jose,2007,934553,217,1068,2441,4449,13200,6413,339,28127,1784,868748,827373,41375,4.8,2,"775,778 ","960,852 ",2,5
San Jose,2008,945197,220,1124,2268,3457,13612,5229,288,26198,1754,895321,840932,54389,6.1,1,"570,078 ","773,459 ",1,6
San Jose,2009,954009,258,1025,2128,3741,13635,5379,243,26409,1749,900472,802197,98275,10.9,2,"560,431 ","764,430 ",1,11
San Jose,2010,970252,253,976,1966,3940,12730,5411,181,25457,1624,907696,806250,101446,11.2,1,"529,184 ","739,437 ",1,11
San Jose,2011,957062,226,1101,1840,4223,12628,5121,165,25304,1456,920037,828220,91817,10,1,"492,204 ","715,844 ",1,10
Campbell,1995,37501,18,50,89,294,1278,177,32,1938,59,937592,857265,80327,8.6,1,"534,705 ","761,381 ",1,
Campbell,1996,37844,10,39,81,197,1098,101,19,1545,58,,,,,,,,,
Campbell,1997,38306,14,24,138,198,1039,116,6,1535,65,,,,,,,,,
Campbell,1998,39372,9,17,162,175,1053,85,11,1512,63,,,,,,,,,
Campbell,1999,39185,16,20,161,108,819,87,8,1219,63,,,,,,,,,
Campbell,2000,39052,8,20,68,127,745,56,9,1033,64,,,,,,,,,
Campbell,2001,38847,12,22,62,160,833,97,7,1193,60,,,,,,,,,
Campbell,2002,39540,19,20,40,208,783,106,15,1191,65,,,,,,,,,
Campbell,2003,37867,9,26,25,166,783,81,25,1115,66,,,,,,,,,
Campbell,2004,37578,7,19,39,247,901,105,18,1336,62,,,,,,,,,
Campbell,2005,37259,5,13,53,225,872,120,17,1305,66,,,,,,,,,
Campbell,2006,37376,7,24,46,243,829,166,17,1332,64,,,,,,,,,
Campbell,2007,37429,8,30,62,232,1058,224,23,1637,64,,,,,,,,,
Campbell,2008,37649,7,32,49,208,1035,134,24,1489,66,,,,,,,,,
Campbell,2009,38584,13,25,78,248,1038,139,14,1555,63,,,,,,,,,
Campbell,2010,38854,10,32,41,319,1017,115,18,1552,62,,,,,,,,,
Campbell,2011,39812,11,36,49,307,920,151,7,1481,62,,,,,,,,,
Gilroy,1995,33789,10,56,386,405,1332,178,50,2417,89,,,,,,,,,
Gilroy,1996,34098,9,98,342,382,1214,144,39,2228,87,,,,,,,,,
Gilroy,1997,34515,13,48,324,376,1249,147,47,2204,93,,,,,,,,,
Gilroy,1998,35276,9,67,308,336,1221,131,12,2084,93,,,,,,,,,
Gilroy,1999,38284,7,55,282,225,1060,110,6,1745,99,,,,,,,,,
Gilroy,2000,39313,18,36,244,261,1000,111,13,1683,97,,,,,,,,,
Gilroy,2001,42235,16,52,237,224,1049,131,4,1713,103,,,,,,,,,
Gilroy,2002,42987,26,69,219,185,1083,172,2,1756,95,,,,,,,,,
Gilroy,2003,43598,14,48,212,224,1183,180,4,1865,105,,,,,,,,,
Gilroy,2004,44322,21,44,116,195,1188,178,11,1753,99,,,,,,,,,
Gilroy,2005,44651,13,67,123,246,1309,180,13,1951,98,,,,,,,,,
Gilroy,2006,46130,12,67,153,273,1485,303,37,2330,99,,,,,,,,,
Gilroy,2007,49343,12,74,164,289,1431,296,0,2266,98,,,,,,,,,
Gilroy,2008,50136,13,86,135,258,1113,190,24,1819,96,,,,,,,,,
Gilroy,2009,50946,4,59,113,280,1097,185,8,1746,85,,,,,,,,,
Gilroy,2010,51108,14,78,112,237,1126,192,21,1780,86,,,,,,,,,
Gilroy,2011,49395,8,65,130,207,1006,169,7,1592,85,,,,,,,,,
Los Altos,1995,28346,3,18,30,114,302,9,0,476,45,,,,,,,,,
Los Altos,1996,28605,3,14,27,120,350,9,0,523,42,,,,,,,,,
Los Altos,1997,28953,2,14,64,117,308,12,2,519,44,,,,,,,,,
Los Altos,1998,28419,1,11,49,89,233,13,12,408,43,,,,,,,,,
Los Altos,1999,28336,0,10,38,78,231,12,0,369,47,,,,,,,,,
Los Altos,2000,28353,0,6,17,104,189,13,8,337,35,,,,,,,,,
Los Altos,2001,28208,0,7,22,102,190,2,3,326,44,,,,,,,,,
Los Altos,2002,28711,1,10,10,74,164,6,2,267,45,,,,,,,,,
Los Altos,2003,27601,1,4,12,82,183,11,3,296,46,,,,,,,,,
Los Altos,2004,27486,3,3,4,95,173,16,4,298,45,,,,,,,,,
Los Altos,2005,27171,2,4,4,130,181,14,2,337,46,,,,,,,,,
Los Altos,2006,27340,0,2,2,172,230,19,3,428,44,,,,,,,,,
Los Altos,2007,27451,3,8,7,147,138,8,1,312,46,,,,,,,,,
Los Altos,2008,27989,2,8,3,136,224,10,3,386,45,,,,,,,,,
Los Altos,2009,28380,0,5,1,108,194,13,2,323,45,,,,,,,,,
Los Altos,2010,28652,4,3,1,67,163,3,6,247,47,,,,,,,,,
Los Altos,2011,29317,2,2,2,55,203,11,2,277,47,,,,,,,,,
Los Gatos,1995,29375,5,17,44,170,585,38,14,873,61,,,,,,,,,
Los Gatos,1996,29643,2,11,40,188,555,37,10,843,62,,,,,,,,,
Los Gatos,1997,30005,2,11,39,196,983,49,8,1288,39,,,,,,,,,
Los Gatos,1998,29598,5,14,42,147,461,42,7,718,59,,,,,,,,,
Los Gatos,1999,29549,0,9,46,169,463,37,9,733,61,,,,,,,,,
Los Gatos,2000,29676,1,9,45,146,456,28,14,699,61,,,,,,,,,
Los Gatos,2001,29123,3,4,44,116,413,30,6,616,74,,,,,,,,,
Los Gatos,2002,29642,2,8,34,148,382,31,13,618,65,,,,,,,,,
Los Gatos,2003,28505,3,12,20,118,368,41,11,573,65,,,,,,,,,
Los Gatos,2004,28299,5,2,24,114,417,40,20,622,59,,,,,,,,,
Los Gatos,2005,28115,5,15,17,145,393,42,10,627,59,,,,,,,,,
Los Gatos,2006,28281,3,12,20,145,379,33,14,606,57,,,,,,,,,
Los Gatos,2007,28320,4,14,17,130,456,39,29,689,61,,,,,,,,,
Los Gatos,2008,29233,5,9,17,108,501,51,19,710,63,,,,,,,,,
Los Gatos,2009,29388,1,9,18,107,467,48,6,656,61,,,,,,,,,
Los Gatos,2010,29558,8,10,16,114,434,28,12,622,61,,,,,,,,,
Los Gatos,2011,29759,4,17,21,122,464,41,7,676,59,,,,,,,,,
Milpitas,1995,56208,22,63,92,377,1657,253,1,2465,108,,,,,,,,,
Milpitas,1996,56722,23,66,139,350,1606,254,2,2440,113,,,,,,,,,
Milpitas,1997,57415,10,55,127,373,1539,259,1,2364,118,,,,,,,,,
Milpitas,1998,60126,16,65,167,330,1498,140,4,2220,114,,,,,,,,,
Milpitas,1999,61628,23,36,173,328,1515,174,3,2252,109,,,,,,,,,
Milpitas,2000,62751,19,64,164,304,1307,188,5,2051,118,,,,,,,,,
Milpitas,2001,63863,9,55,149,325,1452,164,4,2158,115,,,,,,,,,
Milpitas,2002,65001,16,38,145,280,1558,192,6,2235,120,,,,,,,,,
Milpitas,2003,64368,23,38,136,301,1663,239,3,2403,122,,,,,,,,,
Milpitas,2004,63809,21,35,139,322,1625,299,8,2449,118,,,,,,,,,
Milpitas,2005,63114,17,36,140,315,1575,278,16,2377,115,,,,,,,,,
Milpitas,2006,63954,15,52,115,334,1523,286,15,2340,111,,,,,,,,,
Milpitas,2007,64498,10,60,108,291,1539,274,11,2293,113,,,,,,,,,
